"DateTime","Morpho - Price","Morpho - Market Cap","Morpho - Fully Diluted Market Cap","Morpho - Fees","Morpho - Circulating Supply"
"2024-01-05 00:00:00",,,,0,
"2024-01-06 00:00:00",,,,0,
"2024-01-07 00:00:00",,,,0,
"2024-01-08 00:00:00",,,,0,
"2024-01-09 00:00:00",,,,1,
"2024-01-10 00:00:00",,,,52,
"2024-01-11 00:00:00",,,,392,
"2024-01-12 00:00:00",,,,396,
"2024-01-13 00:00:00",,,,536,
"2024-01-14 00:00:00",,,,861,
"2024-01-15 00:00:00",,,,891,
"2024-01-16 00:00:00",,,,1091,
"2024-01-17 00:00:00",,,,1169,
"2024-01-18 00:00:00",,,,1186,
"2024-01-19 00:00:00",,,,1019,
"2024-01-20 00:00:00",,,,1078,
"2024-01-21 00:00:00",,,,737,
"2024-01-22 00:00:00",,,,1205,
"2024-01-23 00:00:00",,,,1141,
"2024-01-24 00:00:00",,,,804,
"2024-01-25 00:00:00",,,,560,
"2024-01-26 00:00:00",,,,600,
"2024-01-27 00:00:00",,,,1233,
"2024-01-28 00:00:00",,,,1336,
"2024-01-29 00:00:00",,,,1485,
"2024-01-30 00:00:00",,,,994,
"2024-01-31 00:00:00",,,,1894,
"2024-02-01 00:00:00",,,,1996,
"2024-02-02 00:00:00",,,,2180,
"2024-02-03 00:00:00",,,,1366,
"2024-02-04 00:00:00",,,,2059,
"2024-02-05 00:00:00",,,,3161,
"2024-02-06 00:00:00",,,,3098,
"2024-02-07 00:00:00",,,,1841,
"2024-02-08 00:00:00",,,,2944,
"2024-02-09 00:00:00",,,,3342,
"2024-02-10 00:00:00",,,,3588,
"2024-02-11 00:00:00",,,,3017,
"2024-02-12 00:00:00",,,,2854,
"2024-02-13 00:00:00",,,,2906,
"2024-02-14 00:00:00",,,,4261,
"2024-02-15 00:00:00",,,,4694,
"2024-02-16 00:00:00",,,,4336,
"2024-02-17 00:00:00",,,,5707,
"2024-02-18 00:00:00",,,,4421,
"2024-02-19 00:00:00",,,,5452,
"2024-02-20 00:00:00",,,,4764,
"2024-02-21 00:00:00",,,,8179,
"2024-02-22 00:00:00",,,,6575,
"2024-02-23 00:00:00",,,,6459,
"2024-02-24 00:00:00",,,,4890,
"2024-02-25 00:00:00",,,,5608,
"2024-02-26 00:00:00",,,,10142,
"2024-02-27 00:00:00",,,,5016,
"2024-02-28 00:00:00",,,,7716,
"2024-02-29 00:00:00",,,,14768,
"2024-03-01 00:00:00",,,,12019,
"2024-03-02 00:00:00",,,,11380,
"2024-03-03 00:00:00",,,,13758,
"2024-03-04 00:00:00",,,,12505,
"2024-03-05 00:00:00",,,,9317,
"2024-03-06 00:00:00",,,,14100,
"2024-03-07 00:00:00",,,,11007,
"2024-03-08 00:00:00",,,,7165,
"2024-03-09 00:00:00",,,,18384,
"2024-03-10 00:00:00",,,,13192,
"2024-03-11 00:00:00",,,,28359,
"2024-03-12 00:00:00",,,,17936,
"2024-03-13 00:00:00",,,,19608,
"2024-03-14 00:00:00",,,,16514,
"2024-03-15 00:00:00",,,,19863,
"2024-03-16 00:00:00",,,,16029,
"2024-03-17 00:00:00",,,,23202,
"2024-03-18 00:00:00",,,,27712,
"2024-03-19 00:00:00",,,,25289,
"2024-03-20 00:00:00",,,,26781,
"2024-03-21 00:00:00",,,,28099,
"2024-03-22 00:00:00",,,,15707,
"2024-03-23 00:00:00",,,,21073,
"2024-03-24 00:00:00",,,,18541,
"2024-03-25 00:00:00",,,,22427,
"2024-03-26 00:00:00",,,,20504,
"2024-03-27 00:00:00",,,,26175,
"2024-03-28 00:00:00",,,,47223,
"2024-03-29 00:00:00",,,,39543,
"2024-03-30 00:00:00",,,,58076,
"2024-03-31 00:00:00",,,,172352,
"2024-04-01 00:00:00",,,,146880,
"2024-04-02 00:00:00",,,,166926,
"2024-04-03 00:00:00",,,,146009,
"2024-04-04 00:00:00",,,,143998,
"2024-04-05 00:00:00",,,,222087,
"2024-04-06 00:00:00",,,,149635,
"2024-04-07 00:00:00",,,,168766,
"2024-04-08 00:00:00",,,,172517,
"2024-04-09 00:00:00",,,,191113,
"2024-04-10 00:00:00",,,,197897,
"2024-04-11 00:00:00",,,,253349,
"2024-04-12 00:00:00",,,,236973,
"2024-04-13 00:00:00",,,,237603,
"2024-04-14 00:00:00",,,,202991,
"2024-04-15 00:00:00",,,,141708,
"2024-04-16 00:00:00",,,,241690,
"2024-04-17 00:00:00",,,,174148,
"2024-04-18 00:00:00",,,,221216,
"2024-04-19 00:00:00",,,,192174,
"2024-04-20 00:00:00",,,,234681,
"2024-04-21 00:00:00",,,,273537,
"2024-04-22 00:00:00",,,,209067,
"2024-04-23 00:00:00",,,,220739,
"2024-04-24 00:00:00",,,,180126,
"2024-04-25 00:00:00",,,,173044,
"2024-04-26 00:00:00",,,,148793,
"2024-04-27 00:00:00",,,,130145,
"2024-04-28 00:00:00",,,,235394,
"2024-04-29 00:00:00",,,,202702,
"2024-04-30 00:00:00",,,,110337,
"2024-05-01 00:00:00",,,,197047,
"2024-05-02 00:00:00",,,,169667,
"2024-05-03 00:00:00",,,,137511,
"2024-05-04 00:00:00",,,,167281,
"2024-05-05 00:00:00",,,,132396,
"2024-05-06 00:00:00",,,,205862,
